symbol,instrument_token,name,generated_date
INDIAGLYCO,389377,INDIA GLYCOLS,2026-06-26
INDIANHUME,391681,INDIAN HUME PIPE CO.,2026-06-26
RKEC,396033,RKEC PROJECTS,2026-06-26
RVHL,400641,RAVINDER HEIGHTS,2026-06-26
GMMPFAUDLR,401921,GMM PFAUDLER,2026-06-26
GILLETTE,403457,GILLETTE INDIA,2026-06-26
TARC,404737,TARC,2026-06-26
INFY,408065,INFOSYS,2026-06-26
INGERRAND,408833,INGERSOLL-RAND INDIA,2026-06-26
AURIGROW,411393,AURI GROW INDIA,2026-06-26
FAIRCHEMOR,413185,FAIRCHEM ORGANICS,2026-06-26
TATAINVEST,414977,TATA INVESTMENT CORP,2026-06-26
IOC,415745,INDIAN OIL CORP,2026-06-26
LINDEINDIA,416513,LINDE INDIA,2026-06-26
BECTORFOOD,416769,MRS BECTORS FOOD SPE,2026-06-26
IONEXCHANG,417281,ION EXCHANGE (INDIA),2026-06-26
IPCALAB,418049,IPCA LABORATORIES,2026-06-26
ITC,424961,ITC,2026-06-26
SUNDROP,425729,SUNDROP BRANDS,2026-06-26
HGINFRA,428033,H.G.INFRA ENGINEERING,2026-06-26
ITI,428801,ITI,2026-06-26
IVP,430337,IVP,2026-06-26
JAYBARMARU,437249,JAY BHARAT MARUTI,2026-06-26
JAYSREETEA,440321,JAYSHREE TEA & INDUSTRIES,2026-06-26
JBCHEPHARM,441857,J B CHEMICALS AND PHARMA,2026-06-26
JINDALPOLY,449537,JINDAL POLY FILMS,2026-06-26
KANPRPLA,456193,KANPUR PLASTIPACK,2026-06-26
AWHCL,460033,ANTONY WASTE HDG CELL,2026-06-26
JYOTISTRUC,461313,JYOTI STRUCTURES,2026-06-26
KABRAEXTRU,462081,KABRA EXTRUSION TECHNIK L,2026-06-26
KAJARIACER,462849,KAJARIA CERAMICS,2026-06-26
KPIL,464385,KALPATARU PROJECT INT,2026-06-26
KAMATHOTEL,467457,KAMAT HOTELS (I),2026-06-26
KARURVYSYA,470529,KARUR VYSYA BANK,2026-06-26
KCP,471297,KCP,2026-06-26
CARYSIL,481025,CARYSIL,2026-06-26
CUMMINSIND,486657,CUMMINS INDIA,2026-06-26
KOTAKBANK,492033,KOTAK MAHINDRA BANK,2026-06-26
WEALTH,492289,WEALTH FRST PORT. MG.,2026-06-26
LIQUIDETF,493313,DSP NIFTY 1D RATE LIQUID ETF,2026-06-26
KREBSBIO,495873,KREBS BIOCHEMICALS & IND,2026-06-26
KSB,498945,KSB,2026-06-26
TRENT,502785,TRENT,2026-06-26
LMW,506625,LMW,2026-06-26
LIBERTSHOE,510465,LIBERTY SHOES,2026-06-26
LICHSGFIN,511233,LIC HOUSING FINANCE,2026-06-26
AHLADA,513025,AHLADA ENGINEERS,2026-06-26
LUMAXIND,516609,LUMAX INDUSTRIES,2026-06-26
