symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
SILVERTUC,206.8,211.03,216.8,203.4,True,True,True,True,False,True,2.2101160472251675,22.402581960000003,2.371829261046353,False,0.06957668535131169,False,47.91,True,1.2904181536596862,66.0,0.24,0,False,▂▂▁▄▅█▄▇▃▃▅▂▁▃▁▄▃▅▅▇,False,False,True,1,0.1581541218637994,0.45122807017543876,0.158012186288357,0.41401939542935184,FLAT,True,96,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Technology Services,36.7
STOVEKRAFT,801.2,814.65,815.05,796.5,True,True,True,True,False,True,0.6900195093213574,7.77011772,0.7046518808464695,False,-0.20586425066268563,False,57.27,True,1.077090895412913,80.0,0.82,0,True,▄▇▁▂▁▄▅▆▆█▆▄▆▃▄▅▆▃▆▅,False,False,False,11,0.03534276668605019,0.45263348744447485,0.03520083111060779,0.41542481269838794,FLAT,True,96,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,RS leader,Consumer Durables,28.8
INDNIPPON,1160.6,1172.5,1183.1,1151.2,True,True,True,True,False,True,0.18623890411924932,1.96164612,0.18858312597729307,False,0.16284022926221392,False,49.34,True,1.1987511996015503,48.0,0.06,0,False,▇█▄▆▁▁▃▃▅▄▂▅▅▇▄▆▆▆▆▆,False,False,False,7,0.16526104417670684,0.46162080473521816,0.16511910860126444,0.42441212998913125,FLAT,True,96,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Producer Manufacturing,26.7
EPACKPEB,268.08,269.9,271.98,264.4,False,True,True,True,False,False,0.8086687005850888,18.752088767999997,0.840237599106569,False,0.1754178354333211,False,42.27,True,1.1663102710905706,57.0,0.25,0,True,▁▄▅▅▆▅█▃▇▆▆▁▇█▅▁▄▃▄▇,False,False,False,2,0.039069767441860304,0.39334719334719326,0.038927831866417906,0.35613851860110635,FLAT,True,94,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Industrial Services,20.4
SKYGOLD,638.25,657.5,663.85,632.55,True,True,True,True,False,True,0.8357928714982452,66.5268399,0.8608189297835844,False,-0.032939425696813,False,56.63,True,1.3812868920435142,93.0,1.39,0,False,▃▃▄▁▄▃▄▂▄▂▅▇▅▄▇▃▅▆▅█,False,False,False,14,0.12200052737980127,0.3715482969807671,0.12185859180435887,0.33433962223468017,FLAT,True,93,49.0,IGNORE,SEED,,NEUTRAL,C,WAIT,"Delivery P93, RS leader",Consumer Durables,28.8
GCSL,522.3,519.75,526.9,516.0,False,True,True,True,False,True,0.7457296016581944,28.156827389999997,0.7778105753749508,False,-0.015093539559219176,False,44.72,True,1.2640088186661766,59.0,-0.02,0,True,▆▅▅▂▆▄▃▃█▆▅▇▅▃▁▅▅▂▅▆,False,False,False,14,0.13531137919791325,0.3708661417322834,0.13516944362247085,0.33365746698619647,FLAT,True,93,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,RS leader,Finance,29.1
PGEL,613.0,614.2,622.65,606.3,False,True,True,True,False,False,0.725093244042662,96.7376526,0.7512032240942521,False,0.09973092834504928,False,24.16,False,0.7934448841524492,30.0,-0.61,0,True,▃▅▂▃▂▄▁▅▇▃▆█▄▄▃▂▃▃▃▂,False,False,False,13,0.0924968811263589,0.32040926225094246,0.0923549455509165,0.28320058750485555,FLAT,True,91,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Electronic Technology,24.6
MAPMYINDIA,1184.75,1165.0,1199.55,1157.5,False,True,True,False,False,False,0.19294241050493288,28.761820325,0.2125037258754661,False,0.24118936073249073,False,28.5,True,1.02137724658197,11.0,-1.13,0,False,▆▆▇▇▁▃▂▃▇██▆██▂▄▄▅▄▅,False,False,False,8,0.2957292065401651,0.3223394162620681,0.2955872709647227,0.28513074151598117,UP,True,91,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Commercial Services,33.3
ALGOQUANT,67.7,67.76,69.43,66.1,False,True,True,True,False,True,0.6728550509149306,6.67796185,0.7181105652142724,False,0.12571283419574497,False,16.94,False,0.6812652068126521,27.0,-0.46,0,True,▄▃▅▂█▃▃▅▃▁▅▃▅▄▂▃▄▃▃▂,False,False,False,5,0.1408830468486686,0.17718657624760925,0.1407411112732262,0.13997790150152234,UP,True,78,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Finance,29.1
SENCO,404.85,412.95,412.95,403.0,True,True,True,True,False,True,0.361433003954336,48.284637675,0.3832732627734032,False,0.13990424142893512,False,39.21,True,1.2014524061221676,32.0,-0.38,0,False,█▂▆▃▂▃▃▃▃▆▄▄▄▃▄▄▁▄▄▅,False,False,False,9,0.2201627486437614,0.17110211165750666,0.220020813068319,0.13389343691141975,UP,True,77,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Consumer Durables,28.8
